d3fend-id,tactic,label,definition,how-it-works,url
D3-CHN,Deceive,Decoy Environment: Connected Honeynet,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system.",Decoy honeypots are deployed within the enterprise environment that emulate certain services or portions of an OS to attract attackers.,https://d3fend.mitre.org/technique/d3f:ConnectedHoneynet
D3-IHN,Deceive,Decoy Environment: Integrated Honeynet,The practice of setting decoys in a production environment to entice interaction from attackers.,"Integrated honeynets use full production environments connected to the enterprise network, that utilize computing resources or software that attract attackers, and allow full interaction and access that provides a complete view of an attack.",https://d3fend.mitre.org/technique/d3f:IntegratedHoneynet
D3-FEMC,Detect,Platform Monitoring: Firmware Embedded Monitoring Code,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.,"Firmware in deployed network devices is typically not monitored for malicious changes. This technique provides a method to embed a software security component into the deployed firmware which provides a near real-time monitoring hook. The exception handling code, in the firmware, is typically used to expose any detected vulnerabilities.

The injected software components provide a feature similar to intrusion detection systems for the firmware by detecting unauthorized modifications of the embedded firmware. The integrity of static code and firmware data are monitored continuously in the hosted devices. Comparisons are made to monitored elements like firmware memory addresses and data segments. Memory pages are scanned and if a modification is detected the software component may lock the page. This will protect subsequent attempted modifications to the firmware. The software component may utilize the exception handling code and thus be able to disclose the exact address of the modified memory.

The injected software components are inserted during the firmware imaging process. The injected software is assumed to have knowledge of both the embedded code and the current execution state of the host program. The injected software will monitor and alert, in near real-time, on potential suspicious activity. The injected code is run alongside of the embedded code in the host. The injected software operates as an independent entity and is not dependent on the host software. 

Finally, this technique may implement other countermeasure techniques as part of their analytical processes. These should be identified by referencing other countermeasure techniques directly as necessary.",https://d3fend.mitre.org/technique/d3f:FirmwareEmbeddedMonitoringCode
D3-OSM,Detect,Platform Monitoring: Operating System Monitoring,"The operating system software, for D3FEND’s purposes, includes the kernel and its process management functions, hardware drivers, initialization or boot logic. It also includes and other key system daemons and their configuration. The monitoring or analysis of these components for unauthorized activity constitute **Operating System Monitoring**.",,https://d3fend.mitre.org/technique/d3f:OperatingSystemMonitoring
D3-FBA,Detect,Platform Monitoring: Firmware Behavior Analysis,Analyzing the behavior of embedded code in firmware and looking for anomalous behavior and suspicious activity.,"Firmware behavior analysis provides protections by ensuring that installed firmware has not been tampered with or modified. Firmware analysis applies to mutable firmware and immutable read-only memory (ROMs).

Firmware in deployed network devices is typically not analyzed and monitored for vulnerabilities and thus is subject to potential attacks. This technique makes use of known and measured behavioral attributes, including timing attributes, of analyzed firmware on deployed devices. 

A behavioral method that employs known timing measurements may use the timing results from a challenge and response protocol to detect the presence of malware in embedded firmware. Firmware device timing measurements are made, specific to the installed device, and are used in the verifying function.

The original firmware image is modified by injecting a monitoring software component into the embedded firmware code. The injected software components will allow for a software root of trust, the challenge and response protocol, to be implement in the firmware. 

A challenge-response is issued and includes a nonce so that replays are not allowed. The firmware will calculate a checksum over all of memory, including the nonce, and return the result. The verification system will compare the computed checksum and the time it took for the computation of the checksum to determine if the firmware has been modified.",https://d3fend.mitre.org/technique/d3f:FirmwareBehaviorAnalysis
D3-FV,Detect,Platform Monitoring: Firmware Verification,Using embedded trust identification markers to identify legitimate firmware and hardware configurations.,"Valid firmware, and hardware configurations, are identified and marked with a trust identification value. The trust identification value is stored on one of the embedded devices of the trusted configuration. A centralized database of trusted values is maintained for the identified configurations on a trust server, and they are used in the validation process.

The validation process uses a trust server to validate deployed trusted configurations by employing an attestation protocol. The user defined values and specific hardware values are cryptographically compared to the stored trust values on the devices . Comparisons that fail the attestation test are deemed untrusted.",https://d3fend.mitre.org/technique/d3f:FirmwareVerification
D3-SFA,Detect,Operating System Monitoring: System File Analysis,"Monitoring system files such as authentication databases, registry keys, system logs, and system executables, for modification or tampering.",This technique ensures the integrity of system owned file resources. System files can impact the behavior below the user level.,https://d3fend.mitre.org/technique/d3f:SystemFileAnalysis
D3-USICA,Detect,Operating System Monitoring: User Session Init Config Analysis,Analyzing modifications to user session config files such as .bashrc or .bash_profile.,,https://d3fend.mitre.org/technique/d3f:UserSessionInitConfigAnalysis
D3-IDA,Detect,Operating System Monitoring: Input Device Analysis,Operating system level mechanisms to prevent abusive input device exploitation.,"Input Device Hardening techniques filter certain commands, or disable related operating system functionality.",https://d3fend.mitre.org/technique/d3f:InputDeviceAnalysis
D3-EHB,Detect,Operating System Monitoring: Endpoint Health Beacon,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised.","Endpoints are configured to periodically generate and transmit a secure heartbeat that is delivered on a configured schedule and provides endpoint status information. Status information can include software details (version, configuration, etc), endpoint identification (MAC, IP address, machine ID) or other hardware/software configuration information. Interruption of the heartbeat can signal that the endpoint has been compromised.",https://d3fend.mitre.org/technique/d3f:EndpointHealthBeacon
D3-SDM,Detect,Operating System Monitoring: System Daemon Monitoring,Tracking changes to the state or configuration of critical system level processes.,"Attackers may manipulate system settings or services to disable system logging or monitoring of security tools and events. Firewall and antivirus services are popular targets for attackers. Disabling system logs will also allow an attacker's actions to go unnoticed. Analysis of logs, registries, and process monitoring help defenders locate signs of tampering. Two possible approaches are to monitor hardened system services or to monitor registry updates for modifications to security settings.",https://d3fend.mitre.org/technique/d3f:SystemDaemonMonitoring
D3-SJA,Detect,Operating System Monitoring: Scheduled Job Analysis,"Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling.","Scheduled job execution can be utilized by adversaries for the purpose of persistence, conducting remote execution, or gaining privileges. Details of a scheduled job such as associated source files, processes, destination files, or destination servers are first identified and analyzed and then compared against an anti-malware signature database, whitelist, or reputation server. For example, a file associated with a scheduled job to be executed at a specified time or a remote server that is accessed as part of a scheduled task is compared against an anti-malware signature database, whitelist, or reputation server, and if a match is found, execution is denied and an alert is generated.

In addition to traditional scheduled jobs, triggers can be set to execute a specific command after detecting a specific event in the system, such as with WMI Event Subscriptions in Windows.",https://d3fend.mitre.org/technique/d3f:ScheduledJobAnalysis
D3-MBT,Detect,Operating System Monitoring: Memory Boundary Tracking,Analyzing a call stack for return addresses which point to unexpected  memory locations.,"This technique monitors for indicators of whether a return address is outside memory previously allocated for an object (i.e. function, module, process, or thread). If so, code that the return address points to is treated as malicious code.",https://d3fend.mitre.org/technique/d3f:MemoryBoundaryTracking
D3-LAM,Detect,Operating System Monitoring: Local Account Monitoring,Analyzing local user accounts to detect unauthorized activity.,,https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring
D3-PCA,Detect,Certificate Analysis: Passive Certificate Analysis,Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.,"Certificates are analyzed outside of a TLS server connection using third-party secure update logs, domain name analysis and analytics.",https://d3fend.mitre.org/technique/d3f:PassiveCertificateAnalysis
D3-ACA,Detect,Certificate Analysis: Active Certificate Analysis,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.,"Analysis of server certificates using active methods to detect if certificates have been misconfigured or spoofed by using elements of the certificate, certificate authorities and signatures.",https://d3fend.mitre.org/technique/d3f:ActiveCertificateAnalysis
D3-SBV,Detect,System File Analysis: Service Binary Verification,Analyzing changes in service binary files by comparing to a source of truth.,System service applications may originate from the operating system installation or third-party applications installed with administrative privileges. These services have an entry point of some executable file-- a binary or a script. Attackers sometimes modify these executables to launch their own code. Analyzing changes in these files may uncover unauthorized activity.,https://d3fend.mitre.org/technique/d3f:ServiceBinaryVerification
D3-PLA,Detect,Process Spawn Analysis: Process Lineage Analysis,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors.","Process tree analysis techniques gather information on how a process was initiated to determine if a process is malicious. For example, if a process was not initiated from boot or not initiated by another process, that process is identified as suspicious. Also, if a new process was started before a process initiated by the device (ex. during boot) and that new process was not initiated by a user (which can be determined by examining process parameters such as type of process, its creator, source, etc.) the process is identified as suspicious. 

For example, Microsoft Word may block execution of any subprocess that is not in an approved path.",https://d3fend.mitre.org/technique/d3f:ProcessLineageAnalysis
D3-HD,Detect,Identifier Analysis: Homoglyph Detection,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.,"A homoglyph, in this context, is a deceptive string or word which looks like a trusted word, but is composed of different characters, for example: goooogle.com versus google.com. This is commonly found in phishing and typo squatting attacks where a human exploiting through a social engineering campaign.",https://d3fend.mitre.org/technique/d3f:HomoglyphDetection
D3-UA,Detect,Identifier Analysis: URL Analysis,Determining if a URL is benign or malicious by analyzing the URL or its components.,"URLs may contain components, for example:

 * scheme
 * userinfo
 * host name
 * port
 * path
 * query
 * fragment

These components are used as features in analysis algorithms.

Contextual information about a URL such as where it is embedded (ex. emails, files, network protocols), header, path, location, and origin information, as well as information about the content returned from the URL request, may be incorporated into an analytic for URL analysis. For example, if a URL indicates a .pdf file but an executable is actually returned, the combination of these two pieces of information indicates suspicious activity.

Additional techniques include:

* Extracting features of a URL such as domain name length, ratio of consecutive consonants, percentage of digits in a domain, and number of vowels. Values for each feature are combined to develop a score for the URL. 
* Determining the probability of a character occurring in the URL given the preceding two characters. For example, for google.com, the probability of a 'g' occurring at the beginning of a word, the probability of an 'o' occurring after a “g, the probability of an “o’ occurring after a 'g' and “o, and so forth. A dictionary or a list of known good domains is used to determine probability. Probabilities are multiplied to develop a score for the URL.

URL analysis may trigger follow-on analytics such as **File Analysis**",https://d3fend.mitre.org/technique/d3f:URLAnalysis
D3-FAPA,Detect,Process Analysis: File Access Pattern Analysis,Analyzing the files accessed by a process to identify unauthorized activity.,"File modifying malware such as wipers and ransomware are detected by identifying file access patterns that are associated with a malicious process. Examples of file access patterns include accessing a large number of files, accessing multiple file types, files being accessed located in multiple locations in a directory, and copying a file and encrypting the contents of that file into a copy. These patterns are used to a assign a risk score for the process behavior and if over a threshold, a preventive action is taken.",https://d3fend.mitre.org/technique/d3f:FileAccessPatternAnalysis
D3-SCA,Detect,Process Analysis: System Call Analysis,Analyzing system calls to determine whether a process is exhibiting unauthorized behavior.,"System calls are APIs between a user application and the operating system [1].

By analyzing a process's use of these APIs, it is, in some cases, possible to ascertain whether a program is exhibiting unauthorized behavior, including trying to escalate its privileges.",https://d3fend.mitre.org/technique/d3f:SystemCallAnalysis
D3-PCSV,Detect,Process Analysis: Process Code Segment Verification,"Comparing the ""text"" or ""code"" memory segments to a source of truth.",A process code segment is an executable portion of computer memory allocated to a particular process. Process Code Segment Verification implements verification to compare a process code segment to some expected value.,https://d3fend.mitre.org/technique/d3f:ProcessCodeSegmentVerification
D3-SSC,Detect,Process Analysis: Shadow Stack Comparisons,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.,This technique compares the call stack stored in system memory with the shadow call stack maintained in the cache memory of the processor.  Mismatches between the two are compared since a return oriented programming attack may only be able to control or spoof the call stack and not the shadow call stack. Mismatches are counted and if the number of mismatches exceeds a certain threshold it is an indication of unauthorized activity and a security response action is performed.,https://d3fend.mitre.org/technique/d3f:ShadowStackComparisons
D3-PSMD,Detect,Process Analysis: Process Self-Modification Detection,"Detects processes that modify, change, or replace their own code at runtime.",,https://d3fend.mitre.org/technique/d3f:ProcessSelf-ModificationDetection
D3-PSA,Detect,Process Analysis: Process Spawn Analysis,Analyzing spawn arguments or attributes of a process to detect processes that are unauthorized.,"Process attributes are established when an operating system spawns a new process. These attributes are analyzed to look for the presence or absence of specific values or patterns. 

Some attributes of interest are:
 - user
 - process name
 - image path
 - security content",https://d3fend.mitre.org/technique/d3f:ProcessSpawnAnalysis
D3-SEA,Detect,Process Analysis: Script Execution Analysis,Analyzing the execution of a script to detect unauthorized user activity.,"Software installed on the host system hooks into a scripting engine to intercept commands before they are executed and block commands if they are determined to be harmful. Pattern matching is used to identify unauthorized commands or in the case of script files, a hash of the file is compared against hashes of known unauthorized script files.",https://d3fend.mitre.org/technique/d3f:ScriptExecutionAnalysis
D3-IBCA,Detect,Process Analysis: Indirect Branch Call Analysis,Analyzing vendor specific branch call recording in order to detect ROP style attacks.,"This technique is used to detect an attacker attempting to exploit and execute code on a target system’s call stack using return-oriented programming (ROP). Modern processors that have the ability to maintain a list of the branching calls, e.g., Intel's Last Branch Recording (LBR), can be used to track and analyze indirect branching calls that are indicative of malicious activity.

In order to reduce the number of indirect branch calls to analyze to a manageable set it is assumed that malicious ROP activity will involve the use of system calls.  The technique observes indirect branch calls that are part of paths that lead to system calls, all others are ignored. Branching calls chained together is often referred to as gadgets and gadgets are often used in ROP attacks. Indirect branch calls that involve a transfer from user-space to kernel-space are of interest for this technique.

Identification of potential ROP exploit execution includes:

- Inspecting the LBR when a system function call is made

  - The LBR is configured to return only instruction of interest (ret, indirect jmp, indirect calls)


- Behavior is analyzed for 
  - Ret instructions that appear to target areas not preceded by the call sites
  - Sequences of small code fragments that appear to be chained through the indirect branching calls (gadgets)


- Of interest are returns that appear to not render control back after calls
  - Typical ret-call are paired
  - gadgets will appear to have ret followed by instruction of next instruction of the following gadget",https://d3fend.mitre.org/technique/d3f:IndirectBranchCallAnalysis
D3-DQSA,Detect,Process Analysis: Database Query String Analysis,Analyzing database queries to detect [SQL Injection](https://capec.mitre.org/data/definitions/66.html).,"Some implementations use software hooks to intercept function calls related to database query operations. Other implementations might intercept or collect network traffic. The database query string is then extracted and analyzed with various methods, for example:
* Detecting specific administrative SQL commands
* Anomalous sequences of commands when compared to a statistical baseline.
* Anomalous commands for a given user role.",https://d3fend.mitre.org/technique/d3f:DatabaseQueryStringAnalysis
,Detect,DNS Traffic Analysis: Fast Flux Detection,,,https://d3fend.mitre.org/technique/d3f:FastFluxDetection
,Detect,DNS Traffic Analysis: Parked Domain Detection,,,https://d3fend.mitre.org/technique/d3f:ParkedDomainDetection
,Detect,DNS Traffic Analysis: DNS Calc Detection,,,https://d3fend.mitre.org/technique/d3f:DNSCalcDetection
D3-RPA,Detect,Network Traffic Analysis: Relay Pattern Analysis,The detection of an internal host relaying traffic between the internal network and the external network.,"A relay may use a variety of proxying, forwarding, or routing technologies to bridge a protected network with an external network. A defensive analytic to detect a relay network may compare the network sessions among multiple hosts. Hosts which have nearly similar network statistics may be part of a relay network. The statistics may include number of bytes sent to and from, time of session initiation, packet size, or packet arrival time data.",https://d3fend.mitre.org/technique/d3f:RelayPatternAnalysis
D3-CA,Detect,Network Traffic Analysis: Certificate Analysis,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs.","Certificate Analysis ensures that the data elements of the certificate are current and anchored in a known trust model. Certificate authorities, revocation lists, and third-party secure logs are used in the analysis. Analysis includes detection of server impersonation, phishing domains, and forged certificates.

TLS certificates are designed to expire to ensure that the cryptographic keys are forced to be changed on a regular basis. The certificates in the trust path also expire and can cause a break in the trust chain. This means that even if a server certificate is updated correctly, intermediate certificates can expire and the trust chain is not maintained. This can cause services to become unavailable.",https://d3fend.mitre.org/technique/d3f:CertificateAnalysis
D3-RTA,Detect,Network Traffic Analysis: RPC Traffic Analysis,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.,"A remote procedure call (RPC) enables one computer to execute a specific function on another computer, as if it were a local application process. There are numerous RPC specifications and implementations. RPC capabilities can be abused by attackers in order to achieve a variety of tactical objectives including execution, persistence, initial access, and more. RPC proxies may be used to collect and store RPC traffic. RPCs can occur over network sockets or named pipes.

Analytics look for unauthorized behavior such as:

* Processes being launched or scheduled remotely
* System configurations being changed remotely
* Unauthorized file read activity

Example RPC Protocols:

* DCE/RPC
* CORBA
* Open Network Computing Remote Procedure Call
* D-Bus
* XML-RPC
* JSON-RPC
* SOAP
* Apache Thrift",https://d3fend.mitre.org/technique/d3f:RPCTrafficAnalysis
D3-CAA,Detect,Network Traffic Analysis: Connection Attempt Analysis,Analyzing failed connections in a network to detect unauthorized activity.,Connection Attempt Analysis in multiple ways.,https://d3fend.mitre.org/technique/d3f:ConnectionAttemptAnalysis
D3-BSE,Detect,Network Traffic Analysis: Byte Sequence Emulation,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.,"Bytes are analyzed as if they are machine code instructions, and such instructions that are a common component of known shellcode are noted, such as stack pivots, reads from a Memory Address Table, and system calls for functions that disable protections or execute code.  For example, the x86 instruction `b0 0b: mov $11, %ax`, with no further alterations to the `%ax` register, followed by `cd 80: syscall` executes the system call `execve()` in the Linux kernel, which replaces the current process with another one specified -- this is a common action in shellcode, so this sequence would be flagged. 

This technique detects shellcode despite whether or not it would cause a buffer overflow in the target binary.

If the sequence of bytes contains a sequence similar to that used in malicious shellcode, the entire byte sequence is flagged and a follow-on technique may be invoked.",https://d3fend.mitre.org/technique/d3f:ByteSequenceEmulation
D3-PHDURA,Detect,Network Traffic Analysis: Per Host Download-Upload Ratio Analysis,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.,"Aggregate pull vs. push ratios from metadata are used to develop a baseline for a given host over a specific time period, e.g., over a three-hour period, one day, one week, etc. Anomalies identified over a threshold produce an alert.",https://d3fend.mitre.org/technique/d3f:PerHostDownload-UploadRatioAnalysis
D3-DNSTA,Detect,Network Traffic Analysis: DNS Traffic Analysis,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host.","This technique can be accomplished in a number of ways. 

* One example analytic determines whether or not a domain name was generated with an algorithm. Domain generation algorithms (DGAs) are sometimes used to create a domain name automatically  that will resolve to C2 infrastructure, without directly coding the domains in question into the malicious code. 
* Another method analyzes information about domains that have been visited, including whether a domain name is longer than a common length,  if a dynamic DNS domain was visited, if a fast-flux domain was visited, and if a recently created domain was visited. These factors are used to develop a score and if that score is over a certain threshold, an alert is generated. 
* Collected malware samples can be executed in a virtual environment to identify network domains that are connected to during execution. The network domains are then generated into signatures to identity bad domains for other hosts.

This technique does not check for content hosted at the domain.",https://d3fend.mitre.org/technique/d3f:DNSTrafficAnalysis
D3-NTCD,Detect,Network Traffic Analysis: Network Traffic Community Deviation,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.,"Hosts/users within a computer network are analyzed to identify communities of hosts which frequently communicate. Future communications between communities that don't usually communicate can then be detected.  For example, if a community of hosts that communicate in support of a company's finance division suddenly starts to access the code server usually accessed only by engineers, this may indicate unauthorized activity.",https://d3fend.mitre.org/technique/d3f:NetworkTrafficCommunityDeviation
D3-ANAA,Detect,Network Traffic Analysis: Administrative Network Activity Analysis,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.,"Network protocols such as RDP, IPMI, SSH, SNMP, VNC, MOSH, NX, TeamViewer, SPICE, PCoIP, and others are used by system administrators to remotely manage servers. Defenders monitor administrative network activity to determine if the use of remote protocols is malicious. Attackers can abuse administrative protocols and leverage them for initial access to various endpoints. For example, an attacker with valid credentials will remotely SSH or RDP into a server and attempt to blend in with existing traffic from system administrators. By monitoring the traffic activity, it is possible to detect when the protocols are behaving differently from a known baseline of system administration activity.",https://d3fend.mitre.org/technique/d3f:AdministrativeNetworkActivityAnalysis
D3-PMAD,Detect,Network Traffic Analysis: Protocol Metadata Anomaly Detection,Collecting network communication protocol metadata and identifying statistical outliers.,"Network protocol metadata is first collected and processed in real-time or post-facto. Metadata may include packet header information or information about a session (ex. time between requests/responses). Metadata is then grouped based on shared characteristics and those groups are compared to each other. If particular metadata differs significantly from other data, an alert is generated, identifying the network event as anomalous. Anomalous activity may indicate unauthorized activity.",https://d3fend.mitre.org/technique/d3f:ProtocolMetadataAnomalyDetection
D3-CSPP,Detect,Network Traffic Analysis: Client-server Payload Profiling,Comparing client-server request and response payloads to a baseline profile to identify outliers.,"Profiling request and response payloads across multiple clients to a single server to develop a baseline of their characteristics. May take into account request/response sizes, entropy, frequency, and rhythm. Finally, identify outliers as they may indicate a malicious payload delivery and subsequent server exploitation.",https://d3fend.mitre.org/technique/d3f:Client-serverPayloadProfiling
D3-ISVA,Detect,Network Traffic Analysis: Inbound Session Volume Analysis,Analyzing inbound network session or connection attempt volume.,Network appliances are configured to alert on certain packets that typically are involved in DoS attacks. Typical packets include ICMP packets and SYN requests that are commonly used to flood networks. A sampling period is used to define a time window in which collected counts of the identified packets can be measured. If the collected number of packets exceeds a predefined limit then an alert is generated.,https://d3fend.mitre.org/technique/d3f:InboundSessionVolumeAnalysis
D3-FC,Detect,Network Traffic Analysis: File Carving,Extracting files from network application protocols through the use of network stream reassembly software.,"Protocol stream reassembly software recreates a directional byte stream by analyzing captured network packets. Once the stream is reassembled pattern matching is applied to determine if it contains a file of interest. Files of interest range from executable, archive, or document file formats. Once the file is captured, it is then processed with standard File Analysis Techniques.  Example network protocols include HTTP, SMTP, FTP, HTTP/2, and TLS/HTTP/Dropbox.",https://d3fend.mitre.org/technique/d3f:FileCarving
D3-IPCTA,Detect,Network Traffic Analysis: IPC Traffic Analysis,Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.,"Inter process communication enables applications or threads to share data. This can involve one or more computers. Monitoring IPC in your environment can reveal abnormal or malicious activity.
IPC can occur within a single computer or between multiple computers remotely through network protocols. Thus there are multiple ways to collect and monitor these exchanges between processes. A network protocol analyzer may monitor and parse SMB network traffic to record system activity. A host based monitoring agent may monitor IPC activity contained within a single host to look for deviations from standard usages.",https://d3fend.mitre.org/technique/d3f:IPCTrafficAnalysis
D3-RTSD,Detect,Network Traffic Analysis: Remote Terminal Session Detection,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.,"An external attacker takes remote control of a host inside a company or organization’s network and manually directs offensive techniques. Nonstandard terminal sessions and abnormal behaviors are analyzed in this technique. Abnormal behavior detection includes analysis of user input patterns in the real-time session, keyboard output and packet inspection.",https://d3fend.mitre.org/technique/d3f:RemoteTerminalSessionDetection
D3-AZET,Detect,User Behavior Analysis: Authorization Event Thresholding,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile.","Authorization event data is collected to create a baseline user profile. Authorization events that deviate from the baseline and exceed a static or dynamic threshold are identified for further action. Authorization events can include successful and failed authorization attempts as well as events related to permissions including viewing, editing, deleting, creating files, databases etc.",https://d3fend.mitre.org/technique/d3f:AuthorizationEventThresholding
D3-WSAA,Detect,User Behavior Analysis: Web Session Activity Analysis,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.,"User web session data is collected over a period of time to create a user behavior profile. Data collected includes clicks made on a website, average time between clicks, filling out web forms, order in which pages are viewed, and downloading files. Current user web session behavior is then compared against the use behavior profile to identify anomalies and a likelihood that the current user web session is malicious. Current user web session behavior can also be compared to predetermined known malicious behavior profiles that are developed through analysis of malware in run time at a threat research facility.",https://d3fend.mitre.org/technique/d3f:WebSessionActivityAnalysis
D3-ANET,Detect,User Behavior Analysis: Authentication Event Thresholding,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile.","Authentication event data is collected (logon information such as device id, time of day, day of week, geo-location, etc.) to create an activity baseline. Then, a threshold is determined either through a manually specified configuration, or a statistical analysis of deviations in historical data. New authentication events are evaluated to determine if a threshold is exceeded. Thresholds can be static or dynamic.",https://d3fend.mitre.org/technique/d3f:AuthenticationEventThresholding
D3-UDTA,Detect,User Behavior Analysis: User Data Transfer Analysis,Analyzing the amount of data transferred by a user.,Unusual data transfer activity may indicate unauthorized activity. Data transfers can be analyzed by collecting network traffic or application logs.,https://d3fend.mitre.org/technique/d3f:UserDataTransferAnalysis
D3-RAPA,Detect,User Behavior Analysis: Resource Access Pattern Analysis,Analyzing the resources accessed by a user to identify unauthorized activity.,This technique analyzes a user's resource accesses by comparing the user’s recent activity against a baseline activity model. Major differences between the current activity and the baseline model might indicate unauthorized activity if they are severe enough.,https://d3fend.mitre.org/technique/d3f:ResourceAccessPatternAnalysis
